reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp,before_temp_change,after_temp_change,across_temp_change,accident_category
BNSF,HL1217121,2017-12-27,4:30 PM,Derailment,0,ASHLAND,NE,6,2.0,Day,Clear,Main,Freight Train,51,4000,181321,185321,E61C,41.047769,-96.336001,2.9,0.2,16.4,-2.6999999999999997,16.2,13.499999999999998,Other
CSX,000209799,2023-02-14,12:03 PM,Hwy-rail crossing,0,ASHLAND,KY,60,2.0,Day,Clear,Main,Freight Train,31,23688,490,24178,M308,38.450953,-82.612202,42.1,46.1,62.0,4.0,15.899999999999999,19.9,Other
UP,0219GL083,2019-02-28,3:15 PM,Derailment,0,ASHTON,IL,22,2.0,Day,Cloudy,Main,Freight Train,27,9670,16432,26102,E53C,41.853112,-89.26205,21.6,17.2,28.1,-4.400000000000002,10.900000000000002,6.5,Other
IAIS,2016024,2016-05-05,7:25 PM,Hwy-rail crossing,0,ATALISSA,IA,65,3.0,Dusk,Clear,Main,Freight Train,38,53000,159,53159,M302,41.569411,-91.169032,55.7,54.8,66.4,-0.9000000000000057,11.600000000000009,10.700000000000003,Other
CSX,000158461,2016-03-25,1:25 PM,Hwy-rail crossing,0,ATHENS,AL,55,2.0,Day,Clear,Main,Freight Train,37,8272,6800,15072,M303,34.799035,-86.970121,62.1,50.8,57.4,-11.300000000000004,6.600000000000001,-4.700000000000003,Other
NS,127427,2017-11-15,2:05 PM,Derailment,0,ATLANTA,GA,60,2.0,Day,Clear,Yard,Yard/switching,5,45,12280,12325,E67L,33.793887,-84.445407,48.5,47.8,55.6,-0.7000000000000028,7.800000000000004,7.100000000000001,Other
NS,140613,2021-02-16,1:50 AM,Other impacts,0,ATLANTA,GA,36,4.0,Dark,Clear,Yard,Yard/switching,4,10296,0,20652,H601,33.793527,-84.444462,44.6,30.4,37.3,-14.200000000000003,6.899999999999999,-7.300000000000004,Other
NS,140537,2021-02-08,7:00 PM,Other impacts,0,ATLANTA,GA,55,3.0,Dusk,Clear,Yard,Single Car,1,10380,0,20676,H312,33.793527,-84.444462,41.0,44.7,54.8,3.700000000000003,10.099999999999994,13.799999999999997,Other
NS,140537,2021-02-08,7:00 PM,Other impacts,0,ATLANTA,GA,55,3.0,Dusk,Clear,Yard,Single Car,0,10296,0,20676,H312,33.793527,-84.444462,41.0,44.7,54.8,3.700000000000003,10.099999999999994,13.799999999999997,Other
NS,155708,2024-02-08,12:01 PM,Derailment,0,ATLANTA,GA,57,2.0,Day,Clear,Yard,Yard/switching,4,8000,10000,18000,H506,33.79352,-84.444441,45.7,46.8,53.7,1.0999999999999943,6.900000000000006,8.0,Other
